ID,NAME,ADDRESS,CITY,STATE,ZIP,Geocodio Latitude,Geocodio Longitude,Medicaid shortfall,PHONE
140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,40.553478,-90.039253,14197860.0,3096475240
140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,37.80123,-89.026777,3720767.0,6189422171
140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,41.844645,-89.479974,7253398.0,8152885531
140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,39.93613,-91.399429,17905350.0,2172231200
140032,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE STREET,EFFINGHAM,IL,62401,39.125637,-88.550359,9985696.0,2173422121
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,38.529053,-89.11617,11038654.0,6184368000
140043,CGH MEDICAL CENTER,100 EAST LEFEVRE ROAD,STERLING,IL,61081,41.80235,-89.696799,14033821.0,8156250400
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,38.293269,-88.892273,19201446.0,6188991469
140059,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,39.11041,-90.343125,1318530.0,6184986402
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,40.987003,-90.359541,10356330.0,3093443161
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,40.44714,-90.664609,7532974.0,3098334101
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,IL,61832,40.135454,-87.645047,10731962.0,2174435000
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,60450,41.369724,-88.427166,13031632.0,8159422932
140110,OSF SAINT ELIZABETH MEDICAL CENTER,1100 E NORRIS DRIVE,OTTAWA,IL,61350,41.356567,-88.826913,6436273.0,8154333100
140137,HSHS HOLY FAMILY HOSPITAL,200 HEALTH CARE DR,GREENVILLE,IL,62246,38.903046,-89.408073,1702291.0,6186641230
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,38.625124,-89.525996,2112937.0,6185264511
140147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,2590000.0,6183952131
140147,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,2590000.0,6183952131
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,42.295768,-89.638009,8265071.0,8155996000
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,40.873491,-88.637192,6806031.0,8158422828
140164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62901,37.727778,-89.220593,4507462.0,6185490721
140184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DEYOUNG,MARION,IL,62959,37.7424,-88.990918,6088481.0,6189987000
140184,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DEYOUNG,MARION,IL,62959,37.7424,-88.990918,2026072.0,6189987000
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372,MATTOON,IL,61938,39.488363,-88.275804,3710292.0,2172582513
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,37.724572,-88.570222,9719248.0,6182537671
140294,DEACONESS ILLINOIS CROSSROADS,8 DOCTORS PARK RD,MOUNT VERNON,IL,62864,38.312132,-88.935891,5273971.0,6182445500
141300,THOMAS H BOYD MEMORIAL HOSPITAL,800 SCHOOL ST,CARROLLTON,IL,62016,39.296047,-90.412331,0.0,2179426946
141301,KIRBY MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,MONTICELLO,IL,61856,40.060219,-88.558856,1196251.0,2177622115
141302,MIDWEST MEDICAL CENTER,1 MEDICAL CENTER DRIVE,GALENA,IL,61036,42.446651,-90.456975,385256.0,8157771340
141303,WARNER HOSPITAL AND HEALTH SERVICES,422 W WHITE ST,CLINTON,IL,61727,40.148384,-88.964754,0.0,2179359571
141304,"GENESIS MEDICAL CENTER, ALEDO",409 NW 9TH AVENUE,ALEDO,IL,61231,41.20533,-90.758649,1051724.0,3095829100
141305,MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,CARTHAGE,IL,62321,40.409316,-91.111469,1033675.0,2173578500
141306,COMMUNITY HOSPITAL OF STAUNTON,400 N CALDWELL ST,STAUNTON,IL,62088,39.015309,-89.790254,0.0,6186352200
141307,PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,38.080385,-89.390322,256471.0,6183572187
141308,WASHINGTON COUNTY HOSPITAL,705 S GRAND AVE,NASHVILLE,IL,62263,38.339094,-89.390191,0.0,6183278236
141309,CARLE EUREKA HOSPITAL,101 S MAJOR ST,EUREKA,IL,61530,40.721159,-89.271348,1543144.0,3094672371
141310,OSF SAINT PAUL MEDICAL CENTER,1401 E 12TH STREET,MENDOTA,IL,61342,41.555045,-89.100941,2137204.0,8155397461
141311,FAIRFIELD MEMORIAL HOSPITAL 1,303 N W 11TH STREET,FAIRFIELD,IL,62837,38.380961,-88.374572,3626041.0,6188422611
141312,ROCHELLE COMMUNITY HOSPITAL,900 N 2ND ST,ROCHELLE,IL,61068,41.929516,-89.06284,1116630.0,8155622181
141313,MASON DISTRICT HOSPITAL,"615 NORTH PROMENADE STREET,P O BOX 530",HAVANA,IL,62644,40.305761,-90.055957,3885477.0,3095434431
141315,ILLINI COMMUNITY HOSPITAL,640 W WASHINGTON,PITTSFIELD,IL,62363,39.606939,-90.814737,2313748.0,2172852113
141316,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,701 EAST ORANGE STREET,HOOPESTON,IL,60942,40.458456,-87.659921,2511138.0,2172835531
141317,GIBSON COMMUNITY HOSPITAL,1120 N MELVIN STREET,GIBSON CITY,IL,60936,40.47793,-88.370536,13667608.0,2177844251
141318,OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVENUE,MONMOUTH,IL,61462,40.922333,-90.65814,0.0,3097343141
141319,HAMMOND HENRY HOSPITAL,600 N COLLEGE AVENUE,GENESEO,IL,61254,41.458548,-90.158002,1689942.0,3099446431
141320,PARIS COMMUNITY HOSPITAL,721 E COURT STREET,PARIS,IL,61944,39.607088,-87.677012,13664767.0,2174654141
141321,FRANKLIN HOSPITAL,201 BAILEY LANE,BENTON,IL,62812,38.009314,-88.916706,0.0,6184393161
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,40.15373,-89.389632,0.0,2177322161
141323,MASSAC MEMORIAL HOSPITAL,"28 CHICK STREET, PO BOX 850",METROPOLIS,IL,62960,37.168033,-88.740294,7673743.0,6185242176
141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,62930,37.815361,-88.441439,3617462.0,6182733361
141325,OSF SAINT LUKE MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL,61443,41.220959,-89.947139,3457857.0,3098533361
141326,HAMILTON MEMORIAL HOSPITAL,611 S MARSHALL AVENUE,MCLEANSBORO,IL,62859,38.08754,-88.541068,0.0,6186432361
141327,WABASH GENERAL HOSPITAL 1,1418 COLLEGE DRIVE,MOUNT CARMEL,IL,62863,38.421752,-87.769165,0.0,6182628621
141328,HARDIN COUNTY GENERAL HOSPITAL,6 FERRELL ROAD,ROSICLARE,IL,62982,37.417713,-88.354451,,6182856634
141329,MORRISON COMMUNITY HOSPITAL,303 N JACKSON STREET,MORRISON,IL,61270,41.809051,-89.957828,0.0,8157724003
141331,MARSHALL BROWNING HOSPITAL,900 NORTH WASHINGTON STREET,DU QUOIN,IL,62832,38.024686,-89.236468,1403269.0,6185422146
141332,HILLSBORO AREA HOSPITAL,1200 E TREMONT STREET,HILLSBORO,IL,62049,39.15347,-89.481373,22974.0,2175326111
141333,SARAH D CULBERTSON MEMORIAL HOSPITAL,238 SOUTH CONGRESS STREET,RUSHVILLE,IL,62681,40.117883,-90.564125,0.0,2173224321
141334,ST JOSEPH MEMORIAL HOSPITAL,2 SOUTH HOSPITAL DRIVE,MURPHYSBORO,IL,62966,37.772877,-89.321198,873193.0,6186843156
141335,MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,60033,42.426241,-88.606898,303451.0,8159435431
141336,ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,IL,62249,38.756964,-89.669338,229029.0,6186512600
141337,OSF SAINT CLARE MEDICAL CENTER,530 PARK AVENUE EAST,PRINCETON,IL,61356,41.367194,-89.456405,2842426.0,8158752811
141338,MEMORIAL HOSPITAL,1900 STATE ST,CHESTER,IL,62233,37.918045,-89.813336,0.0,6188264581
141339,TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568,39.553892,-89.294305,1596946.0,2178243331
141341,PANA COMMUNITY HOSPITAL,101 E NINTH STREET,PANA,IL,62557,39.379937,-89.082959,388864.0,2175622131
141342,DEACONESS ILLINOIS UNION COUNTY,517 NORTH MAIN STREET,ANNA,IL,62906,37.465376,-89.245183,2170396.0,6188334511
141343,CRAWFORD MEMORIAL HOSPITAL,1000 NORTH ALLEN STREET,ROBINSON,IL,62454,39.012182,-87.749974,5329643.0,6185443131
141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,2200 STATE ST,LAWRENCEVILLE,IL,62439,38.728489,-87.694098,2166063.0,6189431000
141345,SALEM TOWNSHIP HOSPITAL,1201 RICKER DRIVE,SALEM,IL,62881,38.641616,-88.947543,3185168.0,6185483194
141346,SARAH BUSH LINCOLN FAYETTE COUNTY HOSPITAL,650 W TAYLOR ST,VANDALIA,IL,62471,38.970483,-89.098326,4523129.0,6182831231
141347,CARLINVILLE AREA HOSPITAL,20733 N BROAD STREET,CARLINVILLE,IL,62626,39.298431,-89.882883,0.0,2178543141
141348,RED BUD REGIONAL HOSPITAL,325 SPRING STREET,RED BUD,IL,62278,38.209311,-89.996505,731816.0,6182823831
141348,RED BUD REGIONAL HOSPITAL,325 SPRING STREET,RED BUD,IL,62278,38.209311,-89.996505,0.0,6182823831
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,38.124498,-89.691418,0.0,6184432177
141350,ST FRANCIS HOSPITAL,1215 FRANCISCAN DR,LITCHFIELD,IL,62056,39.17982,-89.640626,2711698.0,2173242191
141351,CLAY COUNTY HOSPITAL,911 STACY BURK DR,FLORA,IL,62839,38.681045,-88.472843,1713741.0,6186622131
141352,JACKSONVILLE MEMORIAL HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,39.746334,-90.260233,8075285.0,2172459551
141353,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,40.765547,-87.732669,383008.0,8154325201
141354,HSHS GOOD SHEPHERD HOSPITAL INC,200 S CEDAR ST,SHELBYVILLE,IL,62565,39.405902,-88.807115,,2177743961
141355,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,,6183952131
141355,CARLE RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST STREET,OLNEY,IL,62450,38.735186,-88.077089,,6183952131
