Address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"210 WEST WALNUT STREET, CANTON, IL, 61520",40.553478,-90.039253,1,range_interpolation,"210 W Walnut St",,"Canton, IL 61520",210,"W Walnut St",,,Canton,IL,"Fulton County",61520,US,"TIGER/Line® dataset from the US Census Bureau"
"201 S 14TH ST, HERRIN, IL, 62948",37.80123,-89.026777,1,rooftop,"201 S 14th St",,"Herrin, IL 62948",201,"S 14th St",,,Herrin,IL,"Williamson County",62948,US,Williamson
"403 E 1ST ST, DIXON, IL, 61021",41.844645,-89.479974,1,rooftop,"403 E 1st St",,"Dixon, IL 61021",403,"E 1st St",,,Dixon,IL,"Lee County",61021,US,Lee
"1005 BROADWAY ST, QUINCY, IL, 62301",39.93613,-91.399429,1,rooftop,"1005 Broadway St",,"Quincy, IL 62301",1005,"Broadway St",,,Quincy,IL,"Adams County",62301,US,Adams
"503 N MAPLE STREET, EFFINGHAM, IL, 62401",39.125637,-88.550359,1,rooftop,"503 N Maple St",,"Effingham, IL 62401",503,"N Maple St",,,Effingham,IL,"Effingham County",62401,US,Effingham
"400 NORTH PLEASANT AVENUE, CENTRALIA, IL, 62801",38.529053,-89.11617,1,range_interpolation,"400 N Pleasant Ave",,"Centralia, IL 62801",400,"N Pleasant Ave",,,Centralia,IL,"Marion County",62801,US,"TIGER/Line® dataset from the US Census Bureau"
"100 EAST LEFEVRE ROAD, STERLING, IL, 61081",41.80235,-89.696799,1,rooftop,"100 E Lefevre Rd",,"Sterling, IL 61081",100,"E Lefevre Rd",,,Sterling,IL,"Whiteside County",61081,US,Whiteside
"1 GOOD SAMARITAN WAY, MOUNT VERNON, IL, 62864",38.293269,-88.892273,0.5,place,,,"Mount Vernon, IL 62864",,,,,"Mount Vernon",IL,"Jefferson County",62864,US,"TIGER/Line® dataset from the US Census Bureau"
"400 MAPLE SUMMIT ROAD, JERSEYVILLE, IL, 62052",39.11041,-90.343125,1,rooftop,"400 Maple Summit Rd",,"Jerseyville, IL 62052",400,"Maple Summit Rd",,,Jerseyville,IL,"Jersey County",62052,US,Jersey
"3333 NORTH SEMINARY, GALESBURG, IL, 61401",40.987003,-90.359541,1,rooftop,"3333 N Seminary St",,"Galesburg, IL 61401",3333,"N Seminary St",,,Galesburg,IL,"Knox County",61401,US,Knox
"525 EAST GRANT STREET, MACOMB, IL, 61455",40.44714,-90.664609,1,rooftop,"525 E Grant St",,"Macomb, IL 61455",525,"E Grant St",,,Macomb,IL,"McDonough County",61455,US,Mcdonough
"812 N LOGAN AVE, DANVILLE, IL, 61832",40.135454,-87.645047,1,range_interpolation,"812 N Logan Ave",,"Danville, IL 61832",812,"N Logan Ave",,,Danville,IL,"Vermilion County",61832,US,"TIGER/Line® dataset from the US Census Bureau"
"150 W HIGH ST, MORRIS, IL, 60450",41.369724,-88.427166,1,rooftop,"150 W High St",,"Morris, IL 60450",150,"W High St",,,Morris,IL,"Grundy County",60450,US,Will
"1100 E NORRIS DRIVE, OTTAWA, IL, 61350",41.356567,-88.826913,1,range_interpolation,"1100 E Norris Dr",,"Ottawa, IL 61350",1100,"E Norris Dr",,,Ottawa,IL,"Lasalle County",61350,US,"TIGER/Line® dataset from the US Census Bureau"
"200 HEALTH CARE DR, GREENVILLE, IL, 62246",38.903046,-89.408073,1,rooftop,"200 Healthcare Dr",,"Greenville, IL 62246",200,"Healthcare Dr",,,Greenville,IL,"Bond County",62246,US,Bond
"9515 HOLY CROSS LN, BREESE, IL, 62230",38.625124,-89.525996,1,range_interpolation,"9515 Holy Cross Ln",,"Breese, IL 62230",9515,"Holy Cross Ln",,,Breese,IL,"Clinton County",62230,US,"TIGER/Line® dataset from the US Census Bureau"
"800 EAST LOCUST STREET, OLNEY, IL, 62450",38.735186,-88.077089,1,range_interpolation,"800 E Locust St",,"Olney, IL 62450",800,"E Locust St",,,Olney,IL,"Richland County",62450,US,"TIGER/Line® dataset from the US Census Bureau"
"1045 WEST STEPHENSON STREET, FREEPORT, IL, 61032",42.295768,-89.638009,1,range_interpolation,"1045 W Stephenson St",,"Freeport, IL 61032",1045,"W Stephenson St",,,Freeport,IL,"Stephenson County",61032,US,"TIGER/Line® dataset from the US Census Bureau"
"2500 WEST REYNOLDS STREET, PONTIAC, IL, 61764",40.873491,-88.637192,0.7,street_center,"W Reynolds St",,"Pontiac, IL 61764",,"W Reynolds St",,,Pontiac,IL,"Livingston County",61764,US,"TIGER/Line® dataset from the US Census Bureau"
"405 W JACKSON, CARBONDALE, IL, 62901",37.727778,-89.220593,1,range_interpolation,"405 W Jackson St",,"Carbondale, IL 62901",405,"W Jackson St",,,Carbondale,IL,"Jackson County",62901,US,"TIGER/Line® dataset from the US Census Bureau"
"3333 W DEYOUNG, MARION, IL, 62959",37.7424,-88.990918,1,rooftop,"3333 W Deyoung St",,"Marion, IL 62959",3333,"W Deyoung St",,,Marion,IL,"Williamson County",62959,US,Williamson
"1000 HEALTH CENTER DRIVE P O BOX 372, MATTOON, IL, 61938",39.488363,-88.275804,1,range_interpolation,"1000 Health Center Dr",372,"Mattoon, IL 61938",1000,"Health Center Dr",,372,Mattoon,IL,"Coles County",61938,US,"TIGER/Line® dataset from the US Census Bureau"
"100 DOCTOR WARREN TUTTLE DR, HARRISBURG, IL, 62946",37.724572,-88.570222,0.9,range_interpolation,"100 S Tuttle Dr",,"Harrisburg, IL 62946",100,"S Tuttle Dr",,,Harrisburg,IL,"Saline County",62946,US,"TIGER/Line® dataset from the US Census Bureau"
"8 DOCTORS PARK RD, MOUNT VERNON, IL, 62864",38.312132,-88.935891,1,range_interpolation,"8 Doctors Park Rd",,"Mount Vernon, IL 62864",8,"Doctors Park Rd",,,"Mount Vernon",IL,"Jefferson County",62864,US,"TIGER/Line® dataset from the US Census Bureau"
"800 SCHOOL ST, CARROLLTON, IL, 62016",39.296047,-90.412331,1,range_interpolation,"800 School St",,"Carrollton, IL 62016",800,"School St",,,Carrollton,IL,"Greene County",62016,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 MEDICAL CENTER DRIVE, MONTICELLO, IL, 61856",40.060219,-88.558856,1,rooftop,"1000 Medical Center Dr",,"Monticello, IL 61856",1000,"Medical Center Dr",,,Monticello,IL,"Piatt County",61856,US,Piatt
"1 MEDICAL CENTER DRIVE, GALENA, IL, 61036",42.446651,-90.456975,1,range_interpolation,"1 Medical Center Dr",,"Galena, IL 61036",1,"Medical Center Dr",,,Galena,IL,"Jo Daviess County",61036,US,"TIGER/Line® dataset from the US Census Bureau"
"422 W WHITE ST, CLINTON, IL, 61727",40.148384,-88.964754,1,rooftop,"422 W White St",,"Clinton, IL 61727",422,"W White St",,,Clinton,IL,"De Witt County",61727,US,Dewitt
"409 NW 9TH AVENUE, ALEDO, IL, 61231",41.20533,-90.758649,1,range_interpolation,"409 NW 9th Ave",,"Aledo, IL 61231",409,"NW 9th Ave",,,Aledo,IL,"Mercer County",61231,US,"TIGER/Line® dataset from the US Census Bureau"
"1454 N COUNTY ROAD 2050 E, CARTHAGE, IL, 62321",40.409316,-91.111469,1,range_interpolation,"1454 N County Rd 2050",,"Carthage, IL 62321",1454,"N County Rd 2050",,,Carthage,IL,"Hancock County",62321,US,"TIGER/Line® dataset from the US Census Bureau"
"400 N CALDWELL ST, STAUNTON, IL, 62088",39.015309,-89.790254,1,rooftop,"400 N Caldwell St",,"Staunton, IL 62088",400,"N Caldwell St",,,Staunton,IL,"Macoupin County",62088,US,Macoupin
"5383 STATE ROUTE 154, PINCKNEYVILLE, IL, 62274",38.080385,-89.390322,0.7,street_center,"State Rte 154",,"Pinckneyville, IL 62274",,"State Rte 154",,,Pinckneyville,IL,"Perry County",62274,US,"TIGER/Line® dataset from the US Census Bureau"
"705 S GRAND AVE, NASHVILLE, IL, 62263",38.339094,-89.390191,1,range_interpolation,"705 S Grand Rd",,"Nashville, IL 62263",705,"S Grand Rd",,,Nashville,IL,"Washington County",62263,US,"TIGER/Line® dataset from the US Census Bureau"
"101 S MAJOR ST, EUREKA, IL, 61530",40.721159,-89.271348,1,rooftop,"101 S Major St",,"Eureka, IL 61530",101,"S Major St",,,Eureka,IL,"Woodford County",61530,US,Woodford
"1401 E 12TH STREET, MENDOTA, IL, 61342",41.555045,-89.100941,0.7,street_center,"E 12th St",,"Mendota, IL 61342",,"E 12th St",,,Mendota,IL,"Lasalle County",61342,US,"TIGER/Line® dataset from the US Census Bureau"
"303 N W 11TH STREET, FAIRFIELD, IL, 62837",38.380961,-88.374572,0.93,range_interpolation,"303 NW 11th St",,"Fairfield, IL 62837",303,"NW 11th St",,,Fairfield,IL,"Wayne County",62837,US,"TIGER/Line® dataset from the US Census Bureau"
"900 N 2ND ST, ROCHELLE, IL, 61068",41.929516,-89.06284,1,range_interpolation,"900 N 2nd St",,"Rochelle, IL 61068",900,"N 2nd St",,,Rochelle,IL,"Ogle County",61068,US,"TIGER/Line® dataset from the US Census Bureau"
"615 NORTH PROMENADE STREET,P O BOX 530, HAVANA, IL, 62644",40.305761,-90.055957,1,range_interpolation,"615 N Promenade St",530,"Havana, IL 62644",615,"N Promenade St",,530,Havana,IL,"Mason County",62644,US,"TIGER/Line® dataset from the US Census Bureau"
"640 W WASHINGTON, PITTSFIELD, IL, 62363",39.606939,-90.814737,1,range_interpolation,"640 W Washington St",,"Pittsfield, IL 62363",640,"W Washington St",,,Pittsfield,IL,"Pike County",62363,US,"TIGER/Line® dataset from the US Census Bureau"
"701 EAST ORANGE STREET, HOOPESTON, IL, 60942",40.458456,-87.659921,1,rooftop,"701 E Orange St",,"Hoopeston, IL 60942",701,"E Orange St",,,Hoopeston,IL,"Vermilion County",60942,US,Vermilion
"1120 N MELVIN STREET, GIBSON CITY, IL, 60936",40.47793,-88.370536,1,range_interpolation,"1120 N Melvin St",,"Gibson City, IL 60936",1120,"N Melvin St",,,"Gibson City",IL,"Ford County",60936,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 W HARLEM AVENUE, MONMOUTH, IL, 61462",40.922333,-90.65814,1,rooftop,"1000 W Harlem Ave",,"Monmouth, IL 61462",1000,"W Harlem Ave",,,Monmouth,IL,"Warren County",61462,US,Warren
"600 N COLLEGE AVENUE, GENESEO, IL, 61254",41.458548,-90.158002,1,rooftop,"600 N College Ave",,"Geneseo, IL 61254",600,"N College Ave",,,Geneseo,IL,"Henry County",61254,US,Henry
"721 E COURT STREET, PARIS, IL, 61944",39.607088,-87.677012,0.95,rooftop,"721 E Ct",,"Paris, IL 61944",721,"E Ct",,,Paris,IL,"Edgar County",61944,US,Edgar
"201 BAILEY LANE, BENTON, IL, 62812",38.009314,-88.916706,1,range_interpolation,"201 Bailey Ln",,"Benton, IL 62812",201,"Bailey Ln",,,Benton,IL,"Franklin County",62812,US,"TIGER/Line® dataset from the US Census Bureau"
"200 STAHLHUT DRIVE, LINCOLN, IL, 62656",40.15373,-89.389632,1,rooftop,"200 Stahlhut Dr",,"Lincoln, IL 62656",200,"Stahlhut Dr",,,Lincoln,IL,"Logan County",62656,US,Logan
"28 CHICK STREET, PO BOX 850, METROPOLIS, IL, 62960",37.168033,-88.740294,1,range_interpolation,"28 Chick St",850,"Metropolis, IL 62960",28,"Chick St",,850,Metropolis,IL,"Massac County",62960,US,"TIGER/Line® dataset from the US Census Bureau"
"1201 PINE STREET, ELDORADO, IL, 62930",37.815361,-88.441439,1,range_interpolation,"1201 Pine St",,"Eldorado, IL 62930",1201,"Pine St",,,Eldorado,IL,"Saline County",62930,US,"TIGER/Line® dataset from the US Census Bureau"
"1051 WEST SOUTH STREET, KEWANEE, IL, 61443",41.220959,-89.947139,1,rooftop,"1051 W South St",,"Kewanee, IL 61443",1051,"W South St",,,Kewanee,IL,"Henry County",61443,US,Henry
"611 S MARSHALL AVENUE, MCLEANSBORO, IL, 62859",38.08754,-88.541068,1,range_interpolation,"611 S Marshall Ave",,"Mc Leansboro, IL 62859",611,"S Marshall Ave",,,"Mc Leansboro",IL,"Hamilton County",62859,US,"TIGER/Line® dataset from the US Census Bureau"
"1418 COLLEGE DRIVE, MOUNT CARMEL, IL, 62863",38.421752,-87.769165,1,range_interpolation,"1418 College Dr",,"Mount Carmel, IL 62863",1418,"College Dr",,,"Mount Carmel",IL,"Wabash County",62863,US,"TIGER/Line® dataset from the US Census Bureau"
"6 FERRELL ROAD, ROSICLARE, IL, 62982",37.417713,-88.354451,0.5,place,,,"Rosiclare, IL 62982",,,,,Rosiclare,IL,"Hardin County",62982,US,"TIGER/Line® dataset from the US Census Bureau"
"303 N JACKSON STREET, MORRISON, IL, 61270",41.809051,-89.957828,1,rooftop,"303 N Jackson St",,"Morrison, IL 61270",303,"N Jackson St",,,Morrison,IL,"Whiteside County",61270,US,Whiteside
"900 NORTH WASHINGTON STREET, DU QUOIN, IL, 62832",38.024686,-89.236468,1,range_interpolation,"900 N Washington St",,"Du Quoin, IL 62832",900,"N Washington St",,,"Du Quoin",IL,"Perry County",62832,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 E TREMONT STREET, HILLSBORO, IL, 62049",39.15347,-89.481373,1,range_interpolation,"1200 E Tremont St",,"Hillsboro, IL 62049",1200,"E Tremont St",,,Hillsboro,IL,"Montgomery County",62049,US,"TIGER/Line® dataset from the US Census Bureau"
"238 SOUTH CONGRESS STREET, RUSHVILLE, IL, 62681",40.117883,-90.564125,1,rooftop,"238 S Congress St",,"Rushville, IL 62681",238,"S Congress St",,,Rushville,IL,"Schuyler County",62681,US,Schuyler
"2 SOUTH HOSPITAL DRIVE, MURPHYSBORO, IL, 62966",37.772877,-89.321198,0.8,nearest_rooftop_match,"7 S Hospital Dr",,"Murphysboro, IL 62966",7,"S Hospital Dr",,,Murphysboro,IL,"Jackson County",62966,US,Jackson
"901 S GRANT STREET, HARVARD, IL, 60033",42.426241,-88.606898,0.95,rooftop,"901 Grant St",,"Harvard, IL 60033",901,"Grant St",,,Harvard,IL,"McHenry County",60033,US,Mchenry
"12866 TROXLER AVENUE, HIGHLAND, IL, 62249",38.756964,-89.669338,1,range_interpolation,"12866 Troxler Ave",,"Highland, IL 62249",12866,"Troxler Ave",,,Highland,IL,"Madison County",62249,US,"TIGER/Line® dataset from the US Census Bureau"
"530 PARK AVENUE EAST, PRINCETON, IL, 61356",41.367194,-89.456405,1,rooftop,"530 Park Ave E",,"Princeton, IL 61356",530,"Park Ave E",,,Princeton,IL,"Bureau County",61356,US,Bureau
"1900 STATE ST, CHESTER, IL, 62233",37.918045,-89.813336,1,rooftop,"1900 State St",,"Chester, IL 62233",1900,"State St",,,Chester,IL,"Randolph County",62233,US,Randolph
"201 EAST PLEASANT STREET, TAYLORVILLE, IL, 62568",39.553892,-89.294305,1,range_interpolation,"201 E Pleasant St",,"Taylorville, IL 62568",201,"E Pleasant St",,,Taylorville,IL,"Christian County",62568,US,"TIGER/Line® dataset from the US Census Bureau"
"101 E NINTH STREET, PANA, IL, 62557",39.379937,-89.082959,1,range_interpolation,"101 E 9th St",,"Pana, IL 62557",101,"E 9th St",,,Pana,IL,"Christian County",62557,US,"TIGER/Line® dataset from the US Census Bureau"
"517 NORTH MAIN STREET, ANNA, IL, 62906",37.465376,-89.245183,0.7,street_center,"N Main St",,"Anna, IL 62906",,"N Main St",,,Anna,IL,"Union County",62906,US,"TIGER/Line® dataset from the US Census Bureau"
"1000 NORTH ALLEN STREET, ROBINSON, IL, 62454",39.012182,-87.749974,0.7,street_center,"N Allen St",,"Robinson, IL 62454",,"N Allen St",,,Robinson,IL,"Crawford County",62454,US,"TIGER/Line® dataset from the US Census Bureau"
"2200 STATE ST, LAWRENCEVILLE, IL, 62439",38.728489,-87.694098,1,rooftop,"2200 State St",,"Lawrenceville, IL 62439",2200,"State St",,,Lawrenceville,IL,"Lawrence County",62439,US,Lawrence
"1201 RICKER DRIVE, SALEM, IL, 62881",38.641616,-88.947543,1,range_interpolation,"1201 Ricker Dr",,"Salem, IL 62881",1201,"Ricker Dr",,,Salem,IL,"Marion County",62881,US,"TIGER/Line® dataset from the US Census Bureau"
"650 W TAYLOR ST, VANDALIA, IL, 62471",38.970483,-89.098326,1,range_interpolation,"650 W Taylor St",,"Vandalia, IL 62471",650,"W Taylor St",,,Vandalia,IL,"Fayette County",62471,US,"TIGER/Line® dataset from the US Census Bureau"
"20733 N BROAD STREET, CARLINVILLE, IL, 62626",39.298431,-89.882883,1,rooftop,"20733 N Broad St",,"Carlinville, IL 62626",20733,"N Broad St",,,Carlinville,IL,"Macoupin County",62626,US,Macoupin
"325 SPRING STREET, RED BUD, IL, 62278",38.209311,-89.996505,1,rooftop,"325 Spring St",,"Red Bud, IL 62278",325,"Spring St",,,"Red Bud",IL,"Randolph County",62278,US,Randolph
"818 E BROADWAY, SPARTA, IL, 62286",38.124498,-89.691418,1,rooftop,"818 E Broadway St",,"Sparta, IL 62286",818,"E Broadway St",,,Sparta,IL,"Randolph County",62286,US,Randolph
"1215 FRANCISCAN DR, LITCHFIELD, IL, 62056",39.17982,-89.640626,1,range_interpolation,"1215 Franciscan Dr",,"Litchfield, IL 62056",1215,"Franciscan Dr",,,Litchfield,IL,"Montgomery County",62056,US,"TIGER/Line® dataset from the US Census Bureau"
"911 STACY BURK DR, FLORA, IL, 62839",38.681045,-88.472843,1,range_interpolation,"911 Stacy Burke Dr",,"Flora, IL 62839",911,"Stacy Burke Dr",,,Flora,IL,"Clay County",62839,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 W WALNUT ST, JACKSONVILLE, IL, 62650",39.746334,-90.260233,1,rooftop,"1600 W Walnut St",,"Jacksonville, IL 62650",1600,"W Walnut St",,,Jacksonville,IL,"Morgan County",62650,US,Morgan
"200 FAIRMAN STREET, WATSEKA, IL, 60970",40.765547,-87.732669,0.88,range_interpolation,"200 E Fairman Ave",,"Watseka, IL 60970",200,"E Fairman Ave",,,Watseka,IL,"Iroquois County",60970,US,"TIGER/Line® dataset from the US Census Bureau"
"200 S CEDAR ST, SHELBYVILLE, IL, 62565",39.405902,-88.807115,1,range_interpolation,"200 S Cedar St",,"Shelbyville, IL 62565",200,"S Cedar St",,,Shelbyville,IL,"Shelby County",62565,US,"TIGER/Line® dataset from the US Census Bureau"
"800 EAST LOCUST STREET, OLNEY, IL, 62450",38.735186,-88.077089,1,range_interpolation,"800 E Locust St",,"Olney, IL 62450",800,"E Locust St",,,Olney,IL,"Richland County",62450,US,"TIGER/Line® dataset from the US Census Bureau"
